budget,limit,lossDamageWeight,exploration,explorationChance,monsterDamage,lossAbsoluteHp,cardEps,potionEps,mean,winrate,avghp,n
1000,1000,0.053687,21.681691,29.641539,34.854746,0,176,9,3.566,0.791,34.2642,1000
1000,1000,0.072069,49.934522,49.981629,27.902492,1,253,303,7.217,0.81,35.2173,1000
1000,1000,0.063061,23.409929,46.650822,20.138577,1,283,283,2.284,0.796,30.6859,1000
1000,1000,0.068666,54.132352,19.559944,16.406027,1,275,266,1.968,0.795,34.1031,1000
1000,1000,0.098294,43.770063,48.760298,49.326614,1,233,372,4.921,0.801,35.5643,1000
1000,1000,0.009717,52.820915,38.697659,59.404713,1,198,310,5.369,0.807,34.2949,1000
1000,1000,0.087595,42.448144,46.421673,61.886992,1,348,154,9.613,0.818,34.7873,1000
1000,1000,0.101892,38.170654,55.280805,61.988339,1,280,206,6.018,0.809,32.136,1000
1000,1000,0.123293,59.029263,20.208855,26.656707,0,232,377,-3.89,0.771,35.0558,1000
1000,1000,0.110500,10.612741,3.517059,31.437822,1,184,386,-6.448,0.763,33.9659,1000
1000,1000,0.093863,56.898633,45.945890,95.422583,1,335,147,3.18,0.796,34.4623,1000
1000,1000,0.064035,53.583747,46.981328,15.152982,1,314,322,8.379,0.816,35.2377,1000
